OrderID,OrderDate,ShipName,ShipCountry
10248,"1996-07-04 00:00:00","Vins et alcools Chevalier",France
10249,"1996-07-05 00:00:00","Toms Spezialitten",Germany
10250,"1996-07-08 00:00:00","Hanari Carnes",Brazil
10251,"1996-07-08 00:00:00","Victuailles en stock",France
10252,"1996-07-09 00:00:00","Suprmes dlices",Belgium
10253,"1996-07-10 00:00:00","Hanari Carnes",Brazil
10254,"1996-07-11 00:00:00","Chop-suey Chinese",Switzerland
10255,"1996-07-12 00:00:00","Richter Supermarkt",Switzerland
10256,"1996-07-15 00:00:00","Wellington Importadora",Brazil
10257,"1996-07-16 00:00:00",HILARION-Abastos,Venezuela
10258,"1996-07-17 00:00:00","Ernst Handel",Austria
10259,"1996-07-18 00:00:00","Centro comercial Moctezuma",Mexico
10260,"1996-07-19 00:00:00","Ottilies Kseladen",Germany
10261,"1996-07-19 00:00:00","Que Delcia",Brazil
10262,"1996-07-22 00:00:00","Rattlesnake Canyon Grocery",USA
10263,"1996-07-23 00:00:00","Ernst Handel",Austria
10264,"1996-07-24 00:00:00","Folk och f HB",Sweden
10265,"1996-07-25 00:00:00","Blondel pre et fils",France
10266,"1996-07-26 00:00:00","Wartian Herkku",Finland
10267,"1996-07-29 00:00:00",Frankenversand,Germany
10268,"1996-07-30 00:00:00",GROSELLA-Restaurante,Venezuela
10269,"1996-07-31 00:00:00","White Clover Markets",USA
10270,"1996-08-01 00:00:00","Wartian Herkku",Finland
10271,"1996-08-01 00:00:00","Split Rail Beer & Ale",USA
10272,"1996-08-02 00:00:00","Rattlesnake Canyon Grocery",USA
10273,"1996-08-05 00:00:00",QUICK-Stop,Germany
10274,"1996-08-06 00:00:00","Vins et alcools Chevalier",France
10275,"1996-08-07 00:00:00","Magazzini Alimentari Riuniti",Italy
10276,"1996-08-08 00:00:00","Tortuga Restaurante",Mexico
10277,"1996-08-09 00:00:00","Morgenstern Gesundkost",Germany
10278,"1996-08-12 00:00:00","Berglunds snabbkp",Sweden
10279,"1996-08-13 00:00:00","Lehmanns Marktstand",Germany
10280,"1996-08-14 00:00:00","Berglunds snabbkp",Sweden
10281,"1996-08-14 00:00:00","Romero y tomillo",Spain
10282,"1996-08-15 00:00:00","Romero y tomillo",Spain
10283,"1996-08-16 00:00:00",LILA-Supermercado,Venezuela
10284,"1996-08-19 00:00:00","Lehmanns Marktstand",Germany
10285,"1996-08-20 00:00:00",QUICK-Stop,Germany
10286,"1996-08-21 00:00:00",QUICK-Stop,Germany
10287,"1996-08-22 00:00:00","Ricardo Adocicados",Brazil
10288,"1996-08-23 00:00:00","Reggiani Caseifici",Italy
10289,"1996-08-26 00:00:00","B-s Beverages",UK
10290,"1996-08-27 00:00:00","Comrcio Mineiro",Brazil
10291,"1996-08-27 00:00:00","Que Delcia",Brazil
10292,"1996-08-28 00:00:00","Tradiao Hipermercados",Brazil
10293,"1996-08-29 00:00:00","Tortuga Restaurante",Mexico
10294,"1996-08-30 00:00:00","Rattlesnake Canyon Grocery",USA
10295,"1996-09-02 00:00:00","Vins et alcools Chevalier",France
10296,"1996-09-03 00:00:00",LILA-Supermercado,Venezuela
10297,"1996-09-04 00:00:00","Blondel pre et fils",France
